address,latitude,longitude,cvs
부산광역시 강서구 제도로 750,0,0,cu
부산광역시 강서구 미음산단로 9,0,0,cu
부산광역시 강서구 생곡로 26 점포 ,0,0,cu
부산광역시 강서구 녹산동 1492-1번지 1층,0,0,cu
부산광역시 강서구 녹산동 562-4번지,0,0,cu
부산광역시 강서구 대저로274번길 35,0,0,cu
부산광역시 강서구 대저중앙로 353,0,0,cu
부산광역시 강서구 대저중앙로 208 ,0,0,cu
부산광역시 강서구 낙동북로 175 강서LPG충전소 ,0,0,cu
부산광역시 강서구 공항로811번가길 60,0,0,cu
부산광역시 강서구 공항앞길221번길 7,0,0,cu
부산광역시 강서구 유통단지1로 41,0,0,cu
부산광역시 강서구 대저2동 2798-1번지,0,0,cu
부산광역시 강서구 공항진입로 108 ,0,0,cu
부산광역시 강서구 공항로811번가길 60,0,0,cu
부산광역시 강서구 경전철로 34,0,0,cu
부산광역시 강서구 대저동서로 229 ,0,0,cu
부산광역시 강서구 맥도강변길 905 ,0,0,cu
부산광역시 강서구 맥도길 161 ,0,0,cu
부산광역시 강서구 대저2동 2806-1번지,0,0,cu
부산광역시 강서구 공항로569번길 22 ,0,0,cu
부산광역시 강서구 유통단지1로 50,0,0,cu
부산광역시 강서구 동선1길 124 ,0,0,cu
부산광역시 강서구 명지오션시티11로 22,0,0,cu
부산광역시 강서구 명지오션시티4로 60,0,0,cu
부산광역시 강서구 명지동 1746-2번지,0,0,cu
부산광역시 강서구 명지국제11로 51,0,0,cu
부산광역시 강서구 명지동 1866-9번지 1층,0,0,cu
부산광역시 강서구 명지오션시티11로 22,0,0,cu
부산광역시 강서구 명지동 1649-2번지,0,0,cu
부산광역시 강서구 명지동 3404번지 1층,0,0,cu
부산광역시 강서구 명지동 2157-3번지 1층 1동 1호,0,0,cu
부산광역시 강서구 명지국제8로 240,0,0,cu
부산광역시 강서구 명지동 1863-2번지,0,0,cu
부산광역시 강서구 명지국제7로 133,0,0,cu
부산광역시 강서구 명지동 2211번지,0,0,cu
부산광역시 강서구 명지동 1094-4번지 1층,0,0,cu
부산광역시 강서구 명지동 3432-3번지,0,0,cu
부산광역시 강서구 명지동 3479-1,0,0,cu
부산광역시 강서구 명지오션시티8로34번길 2,0,0,cu
부산광역시 강서구 명지국제5로 90 ,0,0,cu
부산광역시 강서구 명지오션시티11로 51,0,0,cu
부산광역시 강서구 명지오션시티10로 16 ,0,0,cu
부산광역시 강서구 명지오션시티6로 33 엘크루블루오션 C2동 B114호 1층,0,0,cu
부산광역시 강서구 가락대로961번길 54,0,0,cu
부산광역시 강서구 범방3로 76,0,0,cu
부산광역시 강서구 신항남로 330 ,0,0,cu
부산광역시 강서구 녹산산단232로 38-25,0,0,cu
부산광역시 강서구 녹산산단335로 24-8,0,0,cu
부산광역시 강서구 녹산산단335로 12-7 태흥빌딩 ,0,0,cu
부산광역시 강서구 신호산단2로 33,0,0,cu
부산광역시 강서구 신호산단1로 76,0,0,cu
부산광역시 강서구 신호산단1로 215,0,0,cu
부산광역시 강서구 신호산단1로 124,0,0,cu
부산광역시 강서구 신호산단4로 27,0,0,cu
부산광역시 강서구 신호산단2로 33,0,0,cu
부산광역시 강서구 신호산단5로 61,0,0,cu
부산광역시 강서구 호계로 23 ,0,0,cu
부산광역시 강서구 과학산단로306번길 10 ,0,0,cu
부산광역시 강서구 과학산단2로20번길 22,0,0,cu
부산광역시 강서구 과학산단2로3번길 56 ,0,0,cu
부산광역시 강서구 과학산단2로20번길 69 지사금강펜테리움,0,0,cu
부산광역시 강서구 거가대로 2571,0,0,cu
부산광역시 강서구 가덕해안로 761 ,0,0,cu
부산광역시 금정구 금단로 33,0,0,cu
부산광역시 금정구 금강로 494,0,0,cu
부산광역시 금정구 구서동 201-9번지,0,0,cu
부산광역시 금정구 금정로233번길 81,0,0,cu
부산광역시 금정구 수림로72번길 134,0,0,cu
부산광역시 금정구 금단로 33,0,0,cu
부산광역시 금정구 중앙대로1930번길 11,0,0,cu
부산광역시 금정구 구서중앙로44번길 32,0,0,cu
부산광역시 금정구 금강로647번길 46 ,0,0,cu
부산광역시 금정구 남산동 140-1번지,0,0,cu
부산광역시 금정구 범어천로38번길 4,0,0,cu
부산광역시 금정구 팔송로39번길 82,0,0,cu
부산광역시 금정구 남산로 11 ,0,0,cu
부산광역시 금정구 금강로647번길 46 ,0,0,cu
부산광역시 금정구 학산로 1,0,0,cu
부산광역시 금정구 범어천로 14,0,0,cu
부산광역시 금정구 금강로633번길 49 ,0,0,cu
부산광역시 금정구 금샘로485번길 65 부산외국어대학교 ,0,0,cu
부산광역시 금정구 중앙대로1985번길 33 ,0,0,cu
부산광역시 금정구 체육공원로 601 1층 1동,0,0,cu
부산광역시 금정구 금정도서관로 108 영락공원 ,0,0,cu
부산광역시 금정구 무학송로 82 ,0,0,cu
부산광역시 금정구 중앙대로1778번길 37,0,0,cu
부산광역시 금정구 부곡로 28,0,0,cu
부산광역시 금정구 부곡로126번길 20,0,0,cu
부산광역시 금정구 수림로20번길 33,0,0,cu
부산광역시 금정구 무학송로 82 ,0,0,cu
부산광역시 금정구 중앙대로1667번길 8,0,0,cu
부산광역시 금정구 중앙대로1719번길 37,0,0,cu
부산광역시 금정구 동현로 50,0,0,cu
부산광역시 금정구 부곡동 267-6번지,0,0,cu
부산광역시 금정구 수림로 25,0,0,cu
부산광역시 금정구 금단로 33,0,0,cu
부산광역시 금정구 금강로 494,0,0,cu
부산광역시 금정구 구서동 201-9번지,0,0,cu
부산광역시 금정구 금정로233번길 81,0,0,cu
부산광역시 금정구 수림로72번길 134,0,0,cu
부산광역시 금정구 금단로 33,0,0,cu
부산광역시 금정구 중앙대로1930번길 11,0,0,cu
부산광역시 금정구 구서중앙로44번길 32,0,0,cu
부산광역시 금정구 서곡로34번길 72 ,0,0,cu
부산광역시 금정구 금사로 15,0,0,cu
부산광역시 금정구 두실로15번길 90 ,0,0,cu
부산광역시 금정구 서동로 131 ,0,0,cu
부산광역시 금정구 개좌로 33,0,0,cu
부산광역시 금정구 식물원로 64 ,0,0,cu
부산광역시 금정구 수림로72번길 21,0,0,cu
부산광역시 금정구 금강로321번길 61,0,0,cu
부산광역시 금정구 부산대학로 45-1,0,0,cu
부산광역시 금정구 장전온천천로 48 ,0,0,cu
부산광역시 금정구 식물원로 64 ,0,0,cu
부산광역시 금정구 온천장로 143,0,0,cu
부산광역시 금정구 식물원로9번길 20 ,0,0,cu
부산광역시 금정구 장전로 10,0,0,cu
부산광역시 금정구 장전온천천로89번길 24 ,0,0,cu
부산광역시 금정구 금강로279번길 2,0,0,cu
부산광역시 금정구 부산대학로64번길 147 1층,0,0,cu
부산광역시 금정구 장전온천천로 127 ,0,0,cu
부산광역시 금정구 금강로 209,0,0,cu
부산광역시 금정구 중앙대로 2120,0,0,cu
부산광역시 금정구 개좌로 233,0,0,cu
부산광역시 기장군 기장읍 차성로436번길 12,0,0,cu
부산광역시 기장군 기장읍 교리 326-3번지,0,0,cu
부산광역시 기장군 기장읍 대청로 45,0,0,cu
부산광역시 기장군 기장읍 차성동로 163,0,0,cu
부산광역시 기장군 기장읍 차성로249번길 9 ,0,0,cu
부산광역시 기장군 기장읍 차성로436번길 12,0,0,cu
부산광역시 기장군 기장읍 차성남로 58,0,0,cu
부산광역시 기장군 기장읍 동부산관광9로 22 ,0,0,cu
부산광역시 기장군 기장읍 연화1길 21 1층 101호,0,0,cu
부산광역시 기장군 기장읍 기장해안로 108 에이원오션시티 ,0,0,cu
부산광역시 기장군 기장읍 차성로321번길 15 월드파크빌 1층 101호,0,0,cu
부산광역시 기장군 기장읍 차성서로 102,0,0,cu
부산광역시 기장군 기장읍 소정안길 68 내리휴먼시아,0,0,cu
부산광역시 기장군 기장읍 기장해안로 583,0,0,cu
부산광역시 기장군 기장읍 차성로326번길 13,0,0,cu
부산광역시 기장군 기장읍 차성동로 63,0,0,cu
부산광역시 기장군 기장읍 연화리 486-3번지,0,0,cu
부산광역시 기장군 일광면 일광로 609,0,0,cu
부산광역시 기장군 일광면 해빛2로 24 일광동원비스타1차,0,0,cu
부산광역시 기장군 일광면 해송1로 33,0,0,cu
