index,address,latitude,longitude,cvs
0,부산 서구 암남동 728-4 1층,0,0,7eleven
1,부산광역시 동래구 안남로 79 강변뜨란채아파 트,0,0,7eleven
2,부산광역시 강서구 신호산단3로 66 삼성빌딩 제1층 103,0,0,7eleven
3,부산시 연제구 월드컵대로 243번길 19 ,0,0,7eleven
4,부산시 연제구 아시아드대로 96 ,0,0,7eleven
5,부산광역시 동구 수정중로 30 ,0,0,7eleven
6,부산광역시 남구 수영로298번길 14 ,0,0,7eleven
7,부산광역시 사하구 장평로 438,0,0,7eleven
8,부산광역시 금정구 금강로565번길 26,0,0,7eleven
9,부산광역시 금정구 금정로233번길 41 지상 제1층,0,0,7eleven
10,부산광역시 기장군 일광면 기장해안로 1295,0,0,7eleven
11,부산광역시 기장군 기장읍 차성동로116번길 10,0,0,7eleven
12,부산광역시 금정구 팔송로 36,0,0,7eleven
13,부산광역시 수영구 남천바다로 10번길 66 ,0,0,7eleven
14,부산광역시 수영구 광남로 48번길20 ,0,0,7eleven
15,부산광역시 서구 구덕로 299 ,0,0,7eleven
16,부산시 동래구 동래로 17 ,0,0,7eleven
17,부산광역시 기장군 기장읍 당사리64번지롯데몰동부산점아울렛1층,0,0,7eleven
18,부산광역시 기장군 기장읍 64번지 롯데몰동부산점 아울렛지하1층,0,0,7eleven
19,부산광역시 기장군 기장해안로 147 3층 A304호,0,0,7eleven
20,부산광역시 해운대구 선수촌로 122 ,0,0,7eleven
21,부산시 부산진구 중앙대로 626 ,0,0,7eleven
22,부산광역시 강서구 가덕해안로 748 ,0,0,7eleven
23,부산광역시 강서구 가덕해안로 789-2 ,0,0,7eleven
24,부산광역시 사하구 하신번영로 201 1층,0,0,7eleven
25,부산시 부산진구 엄광로 62 ,0,0,7eleven
26,부산광역시 부산진구 냉정로 269 1층 ,0,0,7eleven
27,부산광역시 부산진구 대학로36번길 57 ,0,0,7eleven
28,부산시 부산진구 가야대로 548번길 4 ,0,0,7eleven
29,부산시 부산진구 엄광로 186 ,0,0,7eleven
30,부산광역시 부산진구 가야대로589번길 3 1층 ,0,0,7eleven
31,부산광역시 금정구 오륜대로 57 ,0,0,7eleven
32,부산광역시 남구 감만동 626-1,0,0,7eleven
33,부산광역시 사상구 장인로 19,0,0,7eleven
34,부산광역시 사상구 가야대로12번길 49 ,0,0,7eleven
35,부산시 사상구 학감대로 277 ,0,0,7eleven
36,부산광역시 사하구 옥천로 16 ,0,0,7eleven
37,부산광역시 사하구 감천로105번길 57 감천자 유아파트,0,0,7eleven
38,부산시 강서구 녹산산단 321로 24-4 ,0,0,7eleven
39,부산광역시 강서구 낙동북로 74,0,0,7eleven
40,부산광역시 강서구 미음산단로8번길 6 ,0,0,7eleven
41,부산광역시 강서구 명지동 3211-7,0,0,7eleven
42,부산광역시 강서구 가락대로961번길 94 ,0,0,7eleven
43,부산광역시 강서구 생곡산단1로5번길 3 ,0,0,7eleven
44,부산시 강서구 화전산단4로 6번길 6,0,0,7eleven
45,부산광역시 부산진구 가야대로498번가길 14 외 1필지 개금역대상웰리움 제1층 101호,0,0,7eleven
46,부산광역시 부산진구 엄광로 36-7 B102호,0,0,7eleven
47,부산광역시 부산진구 개금온정로 5 208호 ,0,0,7eleven
48,부산광역시 부산진구 복지로8번길 5 ,0,0,7eleven
49,부산광역시 부산진구 백양관문로 25-9 ,0,0,7eleven
50,부산시 부산진구 백양관문로 10 ,0,0,7eleven
51,부산광역시 연제구 월드컵대로187번길 41 거제동,0,0,7eleven
52,부산시 연제구 거제천로 87번길 22 ,0,0,7eleven
53,부산광역시 연제구 월드컵대로 221-9 1층,0,0,7eleven
54,부산광역시 사상구 주례로 31-1 ,0,0,7eleven
55,부산광역시 동래구 수안로호 8번길 38 204동 112,0,0,7eleven
56,부산광역시 연제구 과정로287번길 51,0,0,7eleven
57,부산광역시 남구 용소로7번길 21 1층,0,0,7eleven
58,부산광역시 남구 수영로 311 1층,0,0,7eleven
59,부산광역시 중구 구덕로 50 ,0,0,7eleven
60,부산광역시 중구 중앙대로 2,0,0,7eleven
61,부산광역시 수영구 민락수변로 9-1,0,0,7eleven
62,부산광역시 수영구 수영로594번길 90 1층 ,0,0,7eleven
63,부산광역시 수영구 광안로49번길 67 ,0,0,7eleven
64,부산광역시 수영구 장대골로7번길 20 제지하1층 제비 101호,0,0,7eleven
65,부산광역시 수영구 광안해변로 175 ,0,0,7eleven
66,부산광역시 수영구 무학로10번길 35,0,0,7eleven
67,부산광역시 수영구 광안로61번길 60 ,0,0,7eleven
68,부산광역시 수영구 광안해변로 165 106호,0,0,7eleven
69,부산광역시 수영구 광안로21번길 23,0,0,7eleven
70,부산광역시 수영구 수영로 553-11 ,0,0,7eleven
71,부산광역시 동래구 충렬대로 96 광혜병원 ,0,0,7eleven
72,부산광역시 사하구 사리로 48 ,0,0,7eleven
73,부산광역시 사하구 낙동대로 137 상가 104호 ,0,0,7eleven
74,부산광역시 사하구 사하로141번길 69-1 화이 트빌라,0,0,7eleven
75,부산시 연제구 교대로 6 ,0,0,7eleven
76,부산광역시 연제구 여고로 84-1,0,0,7eleven
77,부산시 북구 구남로 9 ,0,0,7eleven
78,부산광역시 북구 낙동북로681번길 46 정원아 트빌라,0,0,7eleven
79,부산광역시 금정구 금정로 208 1층 ,0,0,7eleven
80,부산광역시 금정구 안뜰로 10 1층 전체,0,0,7eleven
81,부산광역시 금정구 구서로 23 1층,0,0,7eleven
82,부산광역시 사하구 감천항로 172 ,0,0,7eleven
83,부산광역시 사하구 감천항로 195,0,0,7eleven
84,부산광역시 북구 낙동북로663번길 61 ,0,0,7eleven
85,부산광역시 북구 모분재로 50 ,0,0,7eleven
86,부산광역시 북구 백양대로1124번길 82 1층 1호,0,0,7eleven
87,부산광역시 북구 백양대로1016번길 22 지하1층 1호,0,0,7eleven
88,부산광역시 북구 사랑로94번길 10 ,0,0,7eleven
89,부산광역시 북구 모분재로23번길 76 가동 101호,0,0,7eleven
90,부산광역시 북구 시랑로62번길 17 화목맨션 1층 2호,0,0,7eleven
91,부산시 연제구 중앙대로 1217 ,0,0,7eleven
92,부산광역시 동구 충장대로 206 제4부두 ,0,0,7eleven
93,부산광역시 북구 덕천로276번길 32-4 ,0,0,7eleven
94,부산광역시 동래구 금강로131번길 1 ,0,0,7eleven
95,부산광역시 금정구 금사동 개좌로 141-9,0,0,7eleven
96,부산광역시 금정구 체육공원로 702 ,0,0,7eleven
97,부산광역시 금정구 구서중앙로15번길 20 ,0,0,7eleven
98,부산광역시 금정구 부곡로 154 ,0,0,7eleven
99,부산광역시 기장군 장안읍 고무로 328,0,0,7eleven
100,부산광역시 기장군 기장읍 차성로 359,0,0,7eleven
101,부산광역시 기장군 기장대로 470 1층 상가 104호,0,0,7eleven
102,부산광역시 기장군 차성서로 22 대청빌라 1층,0,0,7eleven
103,부산광역시 기장군 기장읍 동부산관광8로 11 ,0,0,7eleven
104,부산광역시 기장군 차성로390번길 15 1층,0,0,7eleven
105,부산광역시 기장군 기장읍 차성남로 69 ,0,0,7eleven
106,부산광역시 기장군 기장읍 연화1길 143-2,0,0,7eleven
107,부산광역시 기장군 기장읍 차성동로142번길 14,0,0,7eleven
108,부산광역시 기장군 기장읍 차성동로 168-24 ,0,0,7eleven
109,부산광역시 기장군 차성남로 5 1층,0,0,7eleven
110,부산광역시 기장군 기장읍 대청로 19 1층,0,0,7eleven
111,부산광역시 기장군 일광면 학리등대로 86-1 ,0,0,7eleven
112,부산광역시 해운대구 센텀동로 26 에이-103 에이2호,0,0,7eleven
113,부산광역시 사하구 낙동남로1367번길 23 1층 102호,0,0,7eleven
114,부산시 동래구 충렬대로 312 ,0,0,7eleven
115,부산시 동래구 안남로 31번길 6 ,0,0,7eleven
116,부산광역시 금정구 금강로693번길 42 ,0,0,7eleven
117,부산광역시 금정구 범어천로31번길 16 1층,0,0,7eleven
118,부산광역시 금정구 금강로740번길 10 ,0,0,7eleven
119,부산광역시 금정구 중앙대로2035번길 7,0,0,7eleven
120,부산광역시 금정구 팔송로7번길 19 ,0,0,7eleven
121,부산광역시 수영구 광안해변로15번길 54 뉴비 치아파트,0,0,7eleven
122,부산광역시 수영구 수영로408번길19 ,0,0,7eleven
123,부산광역시 영도구 절영로94번길 2,0,0,7eleven
124,부산광역시 사하구 다대낙조1길 12 상가동 104호,0,0,7eleven
125,부산광역시 해운대구 달맞이길117번나길 155 101호,0,0,7eleven
126,부산광역시 부산진구 가야대로691번길 4 ,0,0,7eleven
127,부산시 부산진구 당감로 18-1 ,0,0,7eleven
128,부산광역시 부산진구 백양관문로 101 1층 비호,0,0,7eleven
129,부산광역시 금정구 부곡로142번길 49 문구프 라자,0,0,7eleven
130,부산광역시 사상구 광장로86번길 41,0,0,7eleven
131,부산광역시 금정구 금강로321번길 80,0,0,7eleven
132,부산광역시 서구 대영로 44 ,0,0,7eleven
133,부산광역시 서구 구덕로322번길 9 ,0,0,7eleven
134,부산광역시 금정구 부산대학로 10,0,0,7eleven
135,부산광역시 남구 수영로 256-1,0,0,7eleven
