address,latitude,longitude
"부산광역시 강서구 제도로 750, (강동동) 1층",0,0
"부산광역시 강서구 미음산단로 9, (구랑동)",0,0
부산광역시 강서구 생곡로 26 점포 (녹산동) 점포,0,0
부산광역시 강서구 녹산동 1492-1번지 1층,0,0
부산광역시 강서구 녹산동 562-4번지,0,0
"부산광역시 강서구 대저로274번길 35, (대저1동) 1층",0,0
"부산광역시 강서구 대저중앙로 353, (대저1동)",0,0
부산광역시 강서구 대저중앙로 208 (대저1동),0,0
부산광역시 강서구 낙동북로 175 강서LPG충전소 (대저1동) 강서LPG충전소,0,0
"부산광역시 강서구 공항로811번가길 60, (대저2동) 1층",0,0
"부산광역시 강서구 공항앞길221번길 7, (대저2동)",0,0
"부산광역시 강서구 유통단지1로 41, (대저2동) 104호",0,0
부산광역시 강서구 대저2동 2798-1번지,0,0
부산광역시 강서구 공항진입로 108 (대저2동),0,0
"부산광역시 강서구 공항로811번가길 60, (대저2동) 1층",0,0
"부산광역시 강서구 경전철로 34, 1층(대저2동) 1층",0,0
부산광역시 강서구 대저동서로 229 (대저2동),0,0
부산광역시 강서구 맥도강변길 905 (대저2동),0,0
부산광역시 강서구 맥도길 161 (대저2동),0,0
부산광역시 강서구 대저2동 2806-1번지,0,0
부산광역시 강서구 공항로569번길 22 (대저2동),0,0
"부산광역시 강서구 유통단지1로 50, 부산티플렉스지원 시설(대저2동) 다동 107호",0,0
부산광역시 강서구 동선1길 124 (동선동),0,0
"부산광역시 강서구 명지오션시티11로 22, 명지두산위브",0,0
"부산광역시 강서구 명지오션시티4로 60, (명지동)",0,0
부산광역시 강서구 명지동 1746-2번지,0,0
"부산광역시 강서구 명지국제11로 51, (명지동)",0,0
부산광역시 강서구 명지동 1866-9번지 1층,0,0
"부산광역시 강서구 명지오션시티11로 22, 명지두산위브",0,0
부산광역시 강서구 명지동 1649-2번지,0,0
부산광역시 강서구 명지동 3404번지 1층,0,0
부산광역시 강서구 명지동 2157-3번지 1층 1동 1호,0,0
"부산광역시 강서구 명지국제8로 240, (명지동) 1층 101호",0,0
부산광역시 강서구 명지동 1863-2번지,0,0
"부산광역시 강서구 명지국제7로 133, (명지동) 1층 20호",0,0
부산광역시 강서구 명지동 2211번지,0,0
부산광역시 강서구 명지동 1094-4번지 1층,0,0
"부산광역시 강서구 명지동 3432-3번지, 판매시설B동",0,0
부산광역시 강서구 명지동 3479-1,0,0
"부산광역시 강서구 명지오션시티8로34번길 2, (명지동)",0,0
