address,latitude,longitude
"부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)",0,0
"부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)",0,0
"부산 연제구 월드컵대로164번길26, 3층 (연산동 1127-1, 장연빌딩)",0,0
"부산 연제구 월드컵대로164번길26, 4층 (연산동 1127-1, 장연빌딩)",0,0
부산 남구 수영로지하 324 (대연동 77),0,0
"부산 수영구 수영로지하 576, 지하구내층 (광안동 205, 도시철도 광안역)",0,0
"부산 동래구 중앙대로1414, 지하철 명륜역 (온천동 489-4)",0,0
"부산 해운대구 해운대로지하 396, 벡스코지하철역 (우동 1086-3)",0,0
부산 중구 구덕로지하 80 (남포동6가 117-1),0,0
"부산 해운대구 해운대로지하 626, 지하철 해운대역 (우동 656)",0,0
"부산 부산진구 중앙대로지하 730, 서면역구내 (부전동 573-1)",0,0
"부산 부산진구 가야대로777, (중앙몰,J29) (부전동 486-12, 서면지하도상가)",0,0
부산 해운대구 우동1524 지하철 센텀시티역(센텀대남로 지하 76),0,0
"부산 연제구 중앙대로지하 1101, 연산지하철 역사내 (연산동 1515-1)",0,0
"부산 해운대구 해운대로지하 820, 장산지하철역 (좌동 1491)",0,0
부산 서구 구덕로지하 170 (토성동3가 11-3),0,0
"부산 해운대구 구남로46 (중1동 1391-66, 웨이브타운)",0,0
부산 강서구 가락대로397 (송정동 737-13),0,0
부산 부산진구 가야대로482번길62 (개금동 594-16),0,0
부산 부산진구 가야공원로34 (가야동 596-12),0,0
부산 부산진구 엄광로238번길4(가야동 388-1),0,0
"부산 부산진구 엄광로68, 상가 146호, 116호 (가야동 669-9)",0,0
부산 부산진구 엄광로212(가야동 408-4),0,0
부산 부산진구 가야대로600(가야1동 377-10),0,0
부산 부산진구 대학로78(가야동 416-9),0,0
"부산 부산진구 가야대로572번길18, 1층 GS25 가야플러스점 (가야동 297-2)",0,0
"부산 남구 우암로104번길29 (감만1동 73-212, 감만동일스위트아파트)",0,0
부산 남구 홍곡로10(감만1동 160-5),0,0
"부산 남구 무민사로13, 지하1층 (감만동 500-2, 판테라오피스텔)",0,0
"부산 남구 우암로26번길8, GS25감만현대점 (감만동 258-5)",0,0
"부산 사상구 새벽시장로25(감전동 127-19, 대원오피스)",0,0
"부산 사상구 대동로313, 1층 (감전동 132-4)",0,0
부산 사하구 옥천로3 (감천동 468-11),0,0
부산 사하구 감천로46(감천1동 661-1),0,0
부산 사하구 원양로402 (감천동 400-2),0,0
부산 사하구 원양로324 (감천동 344-23),0,0
"부산 사상구 낙동대로1210번길34 (괘법동 519-1, 사상강변동원아파트)",0,0
부산 강서구 가락대로695 (생곡동 1498-20),0,0
"부산 강서구 낙동북로67, 1층 (강동동 109-17)",0,0
부산 강서구 대저동서로245 (대저2동 1239-4),0,0
