address1,address2,deposit_rent,dedicated_area(m^2),"Deposit(10,000won)",rent,year_of_construction,address3,type
부산광역시 강서구 강동동,1**,월세,15,50,7,1978,낙동북로43번길,detatched_multiFamily
부산광역시 강서구 강동동,1**,월세,23.14,500,15,1994,낙동북로43번길,detatched_multiFamily
부산광역시 강서구 강동동,1***,월세,24.13,3000,10,1971,제도로,detatched_multiFamily
부산광역시 강서구 강동동,2**,월세,26.79,1000,20,1996,낙동북로21번길,detatched_multiFamily
부산광역시 강서구 강동동,1**,월세,27,300,33,2014,낙동북로,detatched_multiFamily
부산광역시 강서구 강동동,2***,월세,30,2000,10,1936,상덕로97번가길,detatched_multiFamily
부산광역시 강서구 강동동,1***,전세,32.4,3000,0,1988,제도로1002번가길,detatched_multiFamily
부산광역시 강서구 강동동,6**,월세,32.72,250,20,1987,낙동북로135번길,detatched_multiFamily
부산광역시 강서구 강동동,7**,월세,32.76,1000,10,1990,제도로1041번다길,detatched_multiFamily
부산광역시 강서구 강동동,2*,월세,33,500,20,1995,낙동북로108번길,detatched_multiFamily
부산광역시 강서구 강동동,3***,월세,33,500,25,1997,,detatched_multiFamily
부산광역시 강서구 강동동,1**,월세,37,500,37,2014,낙동북로,detatched_multiFamily
부산광역시 강서구 강동동,2**,월세,42,500,20,1979,낙동북로21번길,detatched_multiFamily
부산광역시 강서구 강동동,1***,전세,42.98,2000,0,1931,제도로1002번가길,detatched_multiFamily
부산광역시 강서구 강동동,2***,월세,51,200,10,2020,제도로,detatched_multiFamily
부산광역시 강서구 강동동,2*,전세,52.28,8000,0,,낙동북로102번길,detatched_multiFamily
부산광역시 강서구 강동동,2***,월세,60,2000,15,1969,강동신덕3길,detatched_multiFamily
부산광역시 강서구 강동동,2*,월세,62.81,800,20,1970,낙동북로125번길,detatched_multiFamily
부산광역시 강서구 강동동,8**,월세,64.8,1000,30,2019,제도로1041번나길,detatched_multiFamily
부산광역시 강서구 강동동,2*,월세,80,200,20,1969,낙동북로102번길,detatched_multiFamily
부산광역시 강서구 강동동,2***,월세,87.69,200,15,1989,제도로,detatched_multiFamily
부산광역시 강서구 강동동,6**,월세,99.33,5000,40,1987,낙동북로135번길,detatched_multiFamily
부산광역시 강서구 강동동,2**,월세,102.81,500,20,1979,낙동북로21번길,detatched_multiFamily
부산광역시 강서구 강동동,3***,월세,188,1000,40,1994,제도로,detatched_multiFamily
부산광역시 강서구 구랑동,1***,월세,18.55,100,30,2020,미음산단로61번길,detatched_multiFamily
부산광역시 강서구 구랑동,1***,월세,18.55,100,30,,미음산단로61번길,detatched_multiFamily
부산광역시 강서구 구랑동,1***,월세,26,200,30,2016,미음산단로61번길,detatched_multiFamily
부산광역시 강서구 녹산동,1***,월세,42.6,500,48,2013,화전산단4로7번길,detatched_multiFamily
부산광역시 강서구 녹산동,1***,월세,50,300,38,2012,화전산단4로,detatched_multiFamily
부산광역시 강서구 녹산동,1***,월세,53,300,38,2013,화전산단4로,detatched_multiFamily
부산광역시 강서구 녹산동,7**,월세,56.19,200,20,,낙동남로,detatched_multiFamily
부산광역시 강서구 녹산동,5**,월세,64.33,2000,40,,낙동남로582번길,detatched_multiFamily
부산광역시 강서구 녹산동,7*,월세,66.12,500,30,2014,낙동남로683번길,detatched_multiFamily
부산광역시 강서구 녹산동,3**,월세,66.81,300,30,1995,낙동남로583번길,detatched_multiFamily
부산광역시 강서구 녹산동,5**,월세,84.59,1500,70,2010,낙동남로582번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,15,50,16,1991,낙동북로166번길,detatched_multiFamily
부산광역시 강서구 대저1동,2***,월세,15,1000,20,1995,체육공원로6번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,22,500,45,2018,낙동북로187번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,25,1000,40,2018,낙동북로187번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,26.4,10,10,1987,평강로397번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,27,1900,26,2018,낙동북로166번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,27,1500,30,2018,낙동북로166번길,detatched_multiFamily
부산광역시 강서구 대저1동,2***,월세,28.98,1000,40,,대저로277번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,30,1000,20,1993,낙동북로212번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,34.6,2000,35,2018,낙동북로166번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,월세,36.29,4000,35,2018,낙동북로187번길,detatched_multiFamily
부산광역시 강서구 대저1동,2***,월세,40,1000,35,,체육공원로26번길,detatched_multiFamily
부산광역시 강서구 대저1동,1***,전세,49.5,3000,0,1994,낙동북로,detatched_multiFamily
부산광역시 강서구 대저1동,5**,전세,51.45,5000,0,1995,대저중앙로309번길,detatched_multiFamily
부산광역시 강서구 대저1동,2***,전세,56.1,3000,0,1995,체육공원로6번길,detatched_multiFamily
부산광역시 강서구 대저1동,2***,월세,59.4,2000,15,1995,체육공원로6번길,detatched_multiFamily
