address1,address2,deposit_rent,dedicated_area(m^2),"Deposit(10,000won)",rent,floor,year_of_construction,type
부산광역시 강서구 녹산동,262-1,월세,65.79,4000,30,7,2017,officetel
부산광역시 강서구 녹산동,262-1,월세,65.79,2000,50,6,2017,officetel
부산광역시 강서구 녹산동,287,월세,65.93,2500,30,7,2017,officetel
부산광역시 강서구 녹산동,287,월세,65.06,1000,45,7,2017,officetel
부산광역시 강서구 대저1동,1728,월세,68.22,2000,55,6,,officetel
부산광역시 강서구 대저1동,2338-2,전세,78.93,14000,0,3,2017,officetel
부산광역시 강서구 대저2동,2033-1,월세,28.93,5000,29,8,2021,officetel
부산광역시 강서구 대저2동,2033-1,전세,73.45,25000,0,15,2021,officetel
부산광역시 강서구 대저2동,2033-1,전세,28.93,12000,0,6,2021,officetel
부산광역시 강서구 대저2동,2033-1,월세,58.07,3000,57,10,2021,officetel
부산광역시 강서구 대저2동,2033-1,월세,28.93,6000,20,2,2021,officetel
부산광역시 강서구 대저2동,2033-1,전세,73.45,24000,0,7,2021,officetel
부산광역시 강서구 대저2동,2033-1,월세,73.45,1000,77,2,2021,officetel
부산광역시 강서구 대저2동,2033-1,전세,58.07,20000,0,6,2021,officetel
부산광역시 강서구 명지동,3594,월세,29.44,300,40,24,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,35,22,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,300,35,24,2020,officetel
부산광역시 강서구 명지동,3594,월세,41.74,500,65,24,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,19,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,12000,0,19,2020,officetel
부산광역시 강서구 명지동,3594,월세,41.74,1000,65,24,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,23,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,43,20,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,45,21,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,17,2020,officetel
부산광역시 강서구 명지동,3594,월세,41.74,1000,65,24,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,24,2020,officetel
부산광역시 강서구 명지동,3594,월세,50.71,500,57,23,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,45,22,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,25,2020,officetel
부산광역시 강서구 명지동,3594,전세,50.71,20000,0,17,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,12000,0,24,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,42,15,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,50,19,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,50,26,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,42,15,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,47,25,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,50,20,2020,officetel
부산광역시 강서구 명지동,3594,전세,41.74,18000,0,21,2020,officetel
부산광역시 강서구 명지동,3594,전세,41.74,16000,0,17,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,20,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,1000,45,20,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,26,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,26,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,43,20,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,20,2020,officetel
부산광역시 강서구 명지동,3594,전세,41.74,18000,0,25,2020,officetel
부산광역시 강서구 명지동,3594,전세,29.44,13000,0,17,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,47,16,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,45,22,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,45,20,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,45,25,2020,officetel
부산광역시 강서구 명지동,3594,월세,29.44,500,47,18,2020,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,8,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,10,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,31,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,14,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,8,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,12,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,10,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,11,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,200,30,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,36.18,500,50,6,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,4,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,5,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,3,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,8,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,36.18,2000,45,9,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,36.18,2000,45,9,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,200,29,4,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,36.18,2000,40,6,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,32,10,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,36.18,500,50,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,32,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,10,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,7000,0,18,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,19,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,17,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,33,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,8,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,13,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,2000,22,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,12,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,29,11,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,12,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,17,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,14,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,5,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,2000,20,13,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,19,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,14,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,10,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,15,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,2000,10,3,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,11,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,11,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,36.18,10000,0,13,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,14,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,10,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,16,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6500,0,18,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,7,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,5,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,2,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,7000,0,17,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,1000,25,10,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,13,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,5,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,12,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,2000,20,3,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,8,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,7,2015,officetel
부산광역시 강서구 명지동,3229-26,전세,23.62,6000,0,5,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,6,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,10,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,11,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,9,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,12,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,300,30,14,2015,officetel
부산광역시 강서구 명지동,3229-26,월세,23.62,500,30,14,2015,officetel
