address1,address2,deposit_rent,dedicated_area(m^2),"Deposit(10,000won)",rent,floor,year_of_construction,type
부산광역시 강서구 강동동,29-320,전세,52.28,8000,0,2,2013,row_multiFamily
부산광역시 강서구 강동동,29-320,월세,52.28,6000,20,3,2013,row_multiFamily
부산광역시 강서구 녹산동,546-17,월세,62.79,3000,30,5,2016,row_multiFamily
부산광역시 강서구 녹산동,546-17,월세,62.2,3000,30,5,2016,row_multiFamily
부산광역시 강서구 대저1동,410-4,월세,63.99,5000,49,4,2020,row_multiFamily
부산광역시 강서구 대저1동,1728,전세,70.39,18000,0,2,2016,row_multiFamily
부산광역시 강서구 대저1동,2304,월세,24.42,5000,15,4,2013,row_multiFamily
부산광역시 강서구 대저1동,384-9,전세,64.6175,15000,0,2,2017,row_multiFamily
부산광역시 강서구 대항동,314-7,전세,83.18,18000,0,2,2018,row_multiFamily
부산광역시 강서구 명지동,1341-6,전세,29.9,10000,0,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,38000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,38000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,38000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,17850,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,24800,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.1532,35000,0,1,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,월세,84.895,26000,35,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,23800,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.895,36500,0,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,24250,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,월세,84.469,25000,45,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,35000,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,20700,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.895,40000,0,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.9294,34000,0,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.895,35000,0,2,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,월세,84.1532,20000,60,1,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,21700,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,21400,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,43000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,43000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.4654,45000,0,4,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.1532,39000,0,1,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.469,35600,0,3,2019,row_multiFamily
부산광역시 강서구 명지동,3478-4,전세,84.1532,18000,0,1,2019,row_multiFamily
부산광역시 강서구 성북동,59-14,월세,29.18,200,25,4,2015,row_multiFamily
부산광역시 금정구 구서동,413-6,월세,60.63,1000,40,3,1981,row_multiFamily
부산광역시 금정구 구서동,775-14,월세,66.5,2000,60,2,1989,row_multiFamily
부산광역시 금정구 구서동,87-9,전세,110.21,20000,0,3,1981,row_multiFamily
부산광역시 금정구 구서동,87-9,월세,77.49,8000,25,5,1981,row_multiFamily
부산광역시 금정구 구서동,86-40,월세,41.04,500,40,3,2002,row_multiFamily
부산광역시 금정구 구서동,415-115,전세,33.57,5600,0,4,2003,row_multiFamily
부산광역시 금정구 구서동,415-38,전세,77.23,15000,0,4,2001,row_multiFamily
부산광역시 금정구 구서동,445-25,월세,17.63,500,35,3,2012,row_multiFamily
부산광역시 금정구 구서동,87-49,월세,105.65,8000,10,4,2003,row_multiFamily
부산광역시 금정구 구서동,87-49,월세,105.65,8000,10,4,2003,row_multiFamily
부산광역시 금정구 구서동,1013-1,월세,132.33,2000,75,2,1992,row_multiFamily
부산광역시 금정구 구서동,1013-1,전세,132.33,18500,0,2,1992,row_multiFamily
부산광역시 금정구 구서동,487-3,전세,76.832,15000,0,2,1998,row_multiFamily
부산광역시 금정구 구서동,158-11,월세,58.98,7000,10,2,1978,row_multiFamily
부산광역시 금정구 구서동,184-31,월세,15.26,200,30,5,2012,row_multiFamily
부산광역시 금정구 구서동,184-31,월세,15.26,200,25,5,2012,row_multiFamily
부산광역시 금정구 구서동,263-5,전세,69.27,14000,0,3,2002,row_multiFamily
부산광역시 금정구 구서동,1016-17,전세,54.9,9400,0,4,1994,row_multiFamily
부산광역시 금정구 구서동,1016-2,월세,68.23,2000,20,2,1991,row_multiFamily
부산광역시 금정구 구서동,446-13,전세,49.29,10000,0,1,1980,row_multiFamily
부산광역시 금정구 구서동,446-13,전세,49.29,10000,0,1,1980,row_multiFamily
